Russian_term	English_term	Russian_sentence	English_sentence_expert
оптическая схема эксперимента	optical scheme of the experiment	Рентгенооптическая схема эксперимента: 1 – источник синхротронного излучения, 2 – коллимационные щели, 3 – зеркало полного внешнего отражения, 4 – образец, 5 – АЭРО, 6 – детектор.	X-ray optical scheme of the experiment: (1) synchrotron radiation source, (2) collimation slits, (3) total external reflection mirror, (4) sample, (5) AXOE, and (6) detector.
основное электронное состояние	ground electronic state	Авторы использовали только основное электронное состояние с энергией диссоциации 61.4 см–1 без учета спин-орбитального расщепления.	In that study, only the ground electronic state was used with the dissociation energy of 61.4 cm–1 and the spin–orbit splitting disregarded.
основные межатомные расстояния	main interatomic distances	Основные кристаллографические параметры, данные экспериментов и результаты уточнения структур кристаллов La2MoO6, беспримесного и с примесью магния, приведены в табл. 1, значения координат, заселенностей позиций и эквивалентных тепловых параметров – в табл. 2, основные межатомные расстояния – в табл. 3.	The main crystallographic characteristics, experimental data, and parameters of the structure refinement for pure and Mg-doped La2MoO6 crystals are given in Table 1; the coordinates, site occupancies, and equivalent thermal parameters are listed in Table 2; and the main interatomic distances are presented in Table 3.
ось второго порядка	twofold axis	Рассмотрим диаграмму обобщенной капиллярной постоянной тригонального или гексагонального кристалла, у которого ось второго порядка направлена вдоль вектора силы тяжести (рис. 2).	Let us consider the diagram of the generalized capillary constant of a trigonal or hexagonal crystal, the twofold axis of which is directed along the gravity force (Fig. 2).
ось третьего порядка	threefold axis	В кристаллах класса 32 присутствуют одна ось третьего порядка и три нормальные к ней полярные оси второго порядка, расположенные под углом 120 друг к другу.	The crystals belonging to the class 32 contain one threefold axis and three twofold polar axes, oriented normally to it and spaced by 120º.
относительно нормали к поверхности образца	with respect to the normal to the sample surface	где σ – сечение фотоионизации, зависящее от энергии возбуждающих фотонов hν, T – эффективность детектора при кинетической энергии фотоэлектронов Ek, ρ – атомарная плотность материла (атомы/см3) на глубине образца с координатой z, λ – неупругая длина свободного пробега фотоэлектронов, θ – угол фотоэмиссии относительно нормали к поверхности образца.	where σ is the photoionization cross section dependent on the excitation photon energy hν, T is the detector efficiency at the photoelectron kinetic energy Ek, ρ is the atomic density of the material (in atoms/cm3) at the sample depth with a coordinate z, λ is the inelastic photoelectron mean free path, and θ is the photoemission angle with respect to the normal to the sample surface.
относительно поверхности образца	with respect to the sample surface	Таким образом, наблюдается разориентация отражающих плоскостей примерно на 4.1° относительно поверхности образца.	Thus, misorientation of the reflecting planes by about 4.1° with respect to the sample surface is observed.
относительное стандартное отклонение	relative standard deviation	Для каждой концентрации проводили пять параллельных экспериментов, относительное стандартное отклонение (Sr) периодов индукции (τинд) составило Sr = 0.01–0.02.	Five parallel experiments were performed for each concentration; the relative standard deviation (Sr) of induction periods (τind) was Sr = 0.01–0.02.
пакет программного обеспечения	software package	Данные анализировали с помощью программ Artemis [20] (пакет программного обеспечения IFEFFIT [21]) и Larch [22].	The data were analyzed using the Artemis [20] (IFEFFIT software package [21]) and Larch programs [22].
параметры атомных смещений	atomic displacement parameters	Координатные и эквивалентные параметры атомных смещений в изученных кристаллах приведены в табл. 2.	The coordinate and equivalent atomic displacement parameters in the crystals under study are given in Table 2.
парный потенциал взаимодействия	pair interaction potential	где K – парный потенциал взаимодействия, который в реальных задачах зависит от расстояния |x – y|, а F – суммарная сила, с которой все частицы действуют на одну из них, находящуюся в момент времени t в точке x [7].	where K is the pair interaction potential, which (in real problems) depends on the distance |x – y| and F is the total force exerted on one particle at point x at instant t from all other particles [7].
пересыщенный твердый раствор	supersaturated solid solution	Поэтому при остывании слитка образуется пересыщенный твердый раствор железа в меди, который может частично распасться с выделением дисперсных частиц железа.	Therefore, upon cooling the ingot, a supersaturated solid solution of iron in copper is formed, which can partially decompose with release of dispersed iron particles.
переход в сверхпроводящее состояние	superconducting transition	Иными словами, при пересечении носителями заряда CuO-плоскостей не только возрастает сопротивление по сравнению с другими направлениями в пленке, но даже переход в сверхпроводящее состояние понижается по температуре.	In other words, not only resistance increases in comparison with other directions in the film, but also the superconducting transition temperature decreases when carriers intersect CuO planes.
период элементарной ячейки	unit-cell parameter	Ланде предположил, что в кристаллах с «мелкими» катионами и крупными анионами, начиная с некоторого размера аниона А, между ними возникает контакт, и размер катиона перестает влиять на период элементарной ячейки соединения.	Lande suggested that, in crystals with small cations and large anions, they are brought into contact beginning with some size of anion A, and the cation size ceases to affect the unit-cell parameter of the compound.
периодические граничные условия	periodic boundary conditions	Поскольку при моделировании выполнялись периодические граничные условия, были выполнены перецентрирование белковых молекул и их возврат в ячейку моделирования с использованием команды gmxtrjconv программного пакета GROMACS с флагом -pbcnojump.	Since the periodic boundary conditions were fulfilled during the simulation, the protein molecules were recentered back to the simulation box using the gmxtrjconv option of the GROMACS package with the –pbcnojump flag.
перпендикулярно плоскости рисунка	perpendicular to the drawing plane	В зависимости от взаимной ориентации внешнего магнитного поля и “ножек” их удобно разделить на четыре типа (рис. 21а): “ножки”, ориентированные вдоль направлений [1], [11], [1] и перпендикулярно плоскости рисунка вдоль направления [111].	Depending on the mutual orientation of external magnetic field and “legs,” it is convenient to divide the latter into four types (Fig. 21a): “legs” oriented along the [1], [11], and [1] directions and (perpendicular to the drawing plane) along the [111] direction.
плоская электромагнитная волна	plane electromagnetic wave	Ключевые слова: метаматериалы, диэлектрический магнитный диполь, отрицательный магнитный отклик, диэлектрическое кольцо, диэлектрическая структура, плоская электромагнитная волна, резонанс.	Keywords: metamaterials, dielectric magnetic dipole, negative magnetic response, dielectric ring, dielectric structure, plane electromagnetic wave, resonance.
плоскость зеркального отражения	mirror-reflection plane	Так, плоскость зеркального отражения лишает лежащие в ней атомы одной из трех степеней свободы, поворотная ось – двух степеней, центр симметрии – трех.	For example, a mirror-reflection plane removes one out of three degrees of freedom of the atoms lying in it, a rotational axis removes two degrees of freedom, and a center of symmetry removes three degrees of freedom.
плоскость скользящего отражения	glide plane	Как видим, во всех случаях таким контактам отвечает трансляция, в направлении которой есть открытый элемент симметрии с меньшим шагом (винтовая ось либо плоскость скользящего отражения).	It can be seen that, in all cases, these contacts correspond to a translation with an open symmetry element having a smaller step (screw axis or glide plane) along its direction.
плотность дефектов упаковки	stacking fault density	Дифракционные максимумы в случае всех исследованных ИОПС хорошо выражены, достаточно узкие и наблюдаются в “идеальных” ГЦК-позициях, значит, плотность дефектов упаковки достаточно низкая.	The diffraction maxima for all investigated IOLSs are well-pronounced, fairly narrow, and observed in “ideal” fcc sites; therefore, the stacking fault density is sufficiently low.
плотность потока ионов	ion flux density	Следует обратить внимание на тот факт, что хотя плотность потока атомов на катоде значительно превышает плотность потока ионов, однако вклад во вторичную эмиссию с катода ионов и быстрых атомов отличается заметно в меньшей степени.	It should be noted that, although the atom flux density at the cathode exceeds significantly the ion flux density, the ion and fast atom contributions to the secondary emission from the cathode differ to a much less extent.
плотность теплового потока	heat flux density	Однако, учитывая, что максимальная плотность теплового потока и минимальная толщина слоя нерасплавленной корпусной стали достигаются за короткое время (порядка 100 с), процесс возможного образования корки в расчетах температурного состояния корпуса в рассматриваемых условиях не следует принимать во внимание.	However, taking into account that the maximum heat flux density and minimum thickness of the unmelted vessel-steel layer are achieved for a short time (about 100 s), the process of possible formation of a crust can be neglected when calculating the temperature state of the vessel under the conditions under consideration.
плотность фононных состояний	phonon density of states	Эти два класса приборов позволяют получать информацию о деталях дисперсии (зависимости энергии квазичастицы ħ от волнового вектора q) конкретных мод возбуждений (q) и обобщенных спектральных характеристиках всего спектра возбуждений, таких как плотность фононных состояний (в англоязычной литературе устоялся термин PDOS – phonon density of states), как функции энергии g(E) или частоты g() возбуждений.	The instruments of these two classes provide information about the details of dispersion (dependence of quasiparticle energy ħ on wave vector q) for specific excitation modes (q) and generalized spectral characteristics of the entire excitation spectrum (e.g., the phonon density of states (PDOS), as a function of energy g(E) or frequency g() of excitations.
плотность фотонных состояний	density of photonic states	На краях стоп-зоны плотность фотонных состояний очень высока [5], что способствует низкому порогу лазерной генерации света.	At the stop-band edges, the density of photonic states is high [5], which facilitates a low threshold of the laser light emission.
площадь поперечного сечения	cross-sectional area	где – модуль Юнга для направления x´3, – момент инерции поперечного сечения биморфа, ρ = 4.628 × 103 кг/м3 – плотность ниобата лития, S = wt – площадь поперечного сечения биморфа.	where is Young's modulus for the direction x´3, is the moment of inertia of the bimorph cross section, ρ = 4.628 × 103 kg/m3 is the lithium niobate density, and S = wt is the bimorph cross-sectional area.
по аналогии с	by analogy with	В тетраэдрических лентах (Т) шестичленные кольца центрированы катионами Na+ в семерной координации, что позволяет их в тоже время рассматривать как гетерополиэдрические по аналогии с гетерофиллосиликатами [34].	In tetrahedral ribbons (T), six-membered rings are centered by Na+ cations in the sevenfold coordination, which allows one to consider them simultaneously as heteropolyhedral ones (by analogy with heterophyllosilicates) [34].
по всей видимости	most likely	На Ti-пленке видны сферические образования, по всей видимости, характерные для данного вида покрытия, их высота 10–15 нм, диаметр 150–250 нм и расстояние между ними до 2 мкм.	Spherical formations can be seen on the Ti film, which are most likely characteristic of this type of coating; they are 10–15 nm high, 150–250 nm in diameter, and spaced from each other by a distance up to 2 µm.
по всему миру	all over the world	В настоящее время эта мечта претворяется в жизнь в связи с успешным строительством и развитием по всему миру рентгеновских лазеров на свободных электронах (РЛСЭ) [1].	Currently this dream is being implemented in view of the successful design and development of X-ray free-electron lasers (XFELs) all over the world [1].
по литературным данным	according to the data in the literature	Основные физико-химические свойства исследуемых кристаллов по литературным данным [26-32] приведены в таблице.	The main physicochemical properties of the crystals under study (according to the data in the literature [26–32]) are listed in Table 1.
по мере протекания	during	По мере протекания стационарного процесса и при увеличении числа дискретных элементарных приращений кристаллического вещества n при постоянном значении  функция распределения (11), согласно центральной предельной теореме теории вероятностей [24], приближается к нормальному закону:	During a stationary process and with an increase in the number n of discrete elementary increments in the amount of crystalline material at a constant  value, according to the central limit theorem of the probability theory [24], the distribution function (11) tends to the normal law:
по мере увеличения	with an increase in	Действительно, по мере увеличения  атомные орбитали, участвующие в образовании связей, и, следовательно, сами связи постепенно теряют свою направленность.	Indeed, atomic orbitals involved in the formation of bonds and, accordingly, the bonds themselves gradually lose their directionality with an increase in .
по нашему мнению	in our opinion	По нашему мнению, в интервале температуры 300–600 К резко повышается подвижность дырок, генерированных облучением кристалла светом лампы накаливания.	In our opinion, the mobility of holes generated under crystal illumination by an incandescent lamp sharply increases in the temperature range of 300–600 K.
по нашим оценкам	according to our estimates	Оставшиеся шумы в полученных кривых по нашим оценкам будут давать случайный разброс эллипсометрических параметров =±0.02 и =±0.15 для состава в диапазоне х=0.2 – 0.4.	According to our estimates, the remaining noises in the obtained curves yield random spread of the ellipsometric parameters  = ±0.02 and  = ±0.15 for the composition range x = 0.2–0.4.
по отношению к	with respect to the	Расстекловывание сплава при термообработке происходит с образованием только В2-фазы, метастабильной по отношению к термоупругому мартенситному превращению В2  В19, а кристаллиты со структурой L21 и L12 не выявляются.	Devitrification of the alloy upon heat treatment is accompanied by only the formation of the B2 phase, which is metastable with respect to the thermoelastic martensitic B2  B19 transformation, while no crystallites with the L21 and L12 structures were observed.
по синусоидальному закону	sinusoidally	В двулучевых интерферометрах освещенность вдоль интерференционных полос меняется по синусоидальному закону.	The illuminance along interference fringes in two-beam interferometers changes sinusoidally.
поглощение из основного состояния	absorption from the ground state	Причём поглощение из основного состояния ионов Nd3+ в этом кристалле в области 193 nm (энергия кванта равна 51800 cm-1) в идеальном случае должно отсутствовать.	Note that the absorption from the ground state of Nd3+ ions in this crystal near 193 nm (photon energy is 51 800 cm–1) should be absent in an ideal case.
позволяет сделать вывод, что	suggests that	Это позволяет сделать вывод, что в эксперименте регистрировалась лишь упругая часть спектра, поэтому возможно использование разработанного математического алгоритма.	This fact suggests that only the elastic part of the spectrum was recorded in the experiment; therefore, the developed mathematical algorithm can be used.
поле упругих напряжений	elastic stress field	Поле упругих напряжений в сплаве с фрактальной поверхностью, образованной в результате коррозионного воздействия кислоты, рассчитывали с помощью метода конечных элементов.	The elastic stress field in an alloy with a fractal surface, formed as a result of the corrosive effect of acid, was calculated using the finite-element method.
полная пространственная когерентность	complete spatial coherence	Совокупность таких характеристик рентгеновского лазера, как сверхвысокая яркость, практически полная пространственная когерентность и сверхмалая длительности импульса, позволят проводить рентгеновскую структурную диагностику на принципиально новом уровне, когда ученые смогут буквально увидеть фундаментальные процессы, происходящие в мире атомов и молекул.	The combination of such characteristics of X-ray laser as ultrahigh brightness, almost complete spatial coherence, and extremely short pulse duration will make it possible to perform X-ray structural diagnostics at a radically new level, when scientists can literally see the fundamental processes occurring in the world of atoms and molecules.
полное внутреннее отражение	total internal reflection	Луч входил в слой и испытывал полное внутреннее отражение внутри слоя на глубине проникновения z*, которую можно рассчитать, зная конфигурацию директора.	The beam entered the layer and underwent total internal reflection in the layer at penetration depth z*, which can be calculated with the director configuration known.
полный магнитный момент	total magnetic moment	В редкоземельных (РЗ) соединениях в отличие от переходных d-металлов (в которых полный магнитный момент определяется только спином S) магнитный момент в силу спин-орбитального взаимодействия связан с полным моментом J = L + S для f-электронной оболочки (предполагается LS-тип электронного спаривания).	In contrast to transition d metals (in which the total magnetic moment is determined by only the spin S), the magnetic moment in rare-earth (RE) compounds (in view of the spin–orbit interaction) is related to the total momentum J = L + S for the f-electron shell (LS electron coupling is suggested).
полный поток фотонов	total photon flux	Благодаря этому механизму яркость рентгеновского ЛСЭ существенно, на 6 порядков, превышает яркость самых мощных на сегодня источников рентгеновского излучения – синхротронов третьего поколения, полный поток фотонов одиночного импульса XFEL превышает поток синхротронного сгустка на 4 порядка (рис. 9).	Due to this mechanism, the brightness of X-ray FEL exceeds greatly (by six order of magnitude) the brightness of the highest power modern X-ray sources: third-generation synchrotrons; the total photon flux in a single XFEL pulse exceeds the synchrotron bunch flux by four orders of magnitude (Fig. 9).
полоса селективного отражения	selective reflection band	В окрестности длины волны, в 2 раза меньшей центральной длины волны основной полосы селективного отражения, возникает полоса селективного отражения второго порядка, что приводит к падению пропускания до 37% при напряженности межэлектродного электрического поля E = 6.25 В/мкм.	In the vicinity of the wavelength twice as short as the central wavelength of the fundamental selective reflection band, a second-order selective reflection band arises, which leads to a drop of transmittance to 37% at the interelectrode electric field strength E = 6.25 V/µm.
поляризация нейтронного пучка	neutron beam polarization	– поляризация нейтронного пучка: >98%;	(iv) degree of neutron beam polarization: >98%;
поправка на поглощение	absorption correction	Для определения действительной температуры вводилась поправка на поглощение в стекле окна камеры.	The real temperature was determined by introducing an absorption correction for a chamber window glass.
после отжига при	after annealing at	Оптические свойства образца типа IV значительно изменялись после отжига при 1000С в течение 10 ч (рис. 1б).	The optical properties of the IV-type sample changed significantly after annealing at 1000C for 10 h (Fig. 1b).
после того как	after	Рентгеновская когерентная оптика широко используется в научных исследованиях с середины 90-х годов прошлого века, после того как появились источники синхротронного излучения (СИ) третьего поколения, первым из которых был европейский источник в г. Гренобле (Франция).	X-ray coherent optics has been widely used in scientific research since the middle of the 1990s, after the creation of third-generation synchrotron radiation (SR) sources; the first of such sources was the European Synchrotron Radiation Facility in Grenoble (France).
поставить в соответствие с	put into correspondence with	Два различных направления магнитного момента доменов (вверх, вниз) можно поставить в соответствие с двумя цветами (черный, белый), что дает возможность назвать изображение бинарным.	Two opposite directions (up, down) of domain magnetic moment can be put into correspondence with two colors (black, white), due to which the image can be considered as binary.
постоянное магнитное поле	dc magnetic field	Для роста монокристаллов GaAs методом LEC (метод Чохральского с жидкостной герметизацией расплава) очень успешно было введено постоянное магнитное поле [5].	When growing GaAs single crystals by the liquid-encapsulated Czochralski (LEC) method, a dc magnetic field was very successfully introduced [5].
потенциал парного взаимодействия	pair interaction potential	где k – постоянная Больцмана; K1,2 – потенциал парного взаимодействия;  – некоторое характеристическое число.	where k is the Boltzmann constant, K1,2 is the pair interaction potential, and λ is some characteristic number.
потенциальная энергия системы	potential energy of the system	где mi, ri – масса и радиус-вектор i-ой частицы, Fi – сумма сил, действующих на частицу, U –потенциальная энергия системы частиц, t – время.	where mi and ri are the mass and the radius vector of the i-th particle, respectively, Fi is the sum of forces acting on the particle, U is the potential energy of the system of particles, and t is the time.
потери на испарение	evaporation loss	Потери на испарение не превышали 0.8 мас. %.	The evaporation loss was no higher than 0.8 wt %.
потери на пропускание	transmission loss	Она оказалась гораздо менее изученной, нежели соседние диапазоны. Причины просты – большие потери на пропускание в атмосфере, отсутствие хороших источников излучения и чувствительных приемников.	It turned out to be much more poorly studied than the neighboring ranges because of the following simple reasons: high transmission loss in atmosphere and the absence of good radiation sources and sensitive detectors.
практически не влияет на	barely affects the	Следует отметить, что в отличие от ИК области спектра оптическое качество поверхности образцов кристаллов практически не влияет на пропускание в миллиметровом диапазоне.	It should be noted that, in contrast to the IR spectral range, the optical quality of the surface of crystal samples barely affects the transmittance in the millimeter range.
предельная разрешающая способность	ultimate resolution	В металлах, как правило, небольшие межплоскостные расстояния, и поэтому требуется предельная разрешающая способность прибора.	In metals, interplanar spacings are generally small; therefore, the ultimate resolution of a device is required utmost.
представляет особый интерес	is of particular interest	Использование терагерцового диапазона частот в таких исследованиях представляет особый интерес, поскольку здесь спектр релаксационного типа и резонансный спектр имеют тенденцию сосуществовать, и, таким образом, низкочастотные колебательные спектры являются прямым источником информации о молекулярной подвижности, предшествующей релаксационной динамике в стеклообразных полимерах.	The use of THz frequencies in these studies is of particular interest, because the relaxation and resonance spectra tend to coexist in this range; thus, low-frequency vibrational spectra provide direct information about the molecular mobility, which precedes the relaxation dynamics in glassy polymers.
при атмосферном давлении	at atmospheric pressure	Одновременно измерения плотности легкой воды при атмосферном давлении в интервале температур 30–373 К в переохлажденном и нормальном состояниях выполнены с помощью методов рамановской и инфракрасной спектроскопии [33].	At the same time, the density of light water at atmospheric pressure in the temperature range of 30–373 K in the supercooled and normal states were measured using Raman and IR spectroscopy [33].
при воздействии лазерного излучения	under laser irradiation	В настоящей работе отмечено разнообразие эффектов, способных вызывать деформации в нецентросимметричных кристаллах при воздействии лазерного излучения.	In this study, variery of the effects capable of inducing deformations in non-centrosymmetric crystals under laser irradiation is noted.
при комнатной температуре	at room temperature	Плотность кристаллов ρ измеряли методом гидростатического взвешивания в дистиллированной воде при комнатной температуре (T = 293 K) с точностью не менее 0.01 г/см3.	Crystal density ρ was measured by the hydrostatic weighing method in distilled water at room temperature (T = 293 K) with an error no higher than 0.01 g/cm3.
при магнетронном распылении	during magnetron sputtering	Изучены температурные условия зарождения слоев ZnO на термически окисленных с поверхности кремниевых подложках при магнетронном распылении металлокерамической мишени ZnO–Zn (30 мол. %) в атмосфере Ar и осаждении методом химического газового транспорта в потоке водорода при взаимодействии паров Zn и H2O.	The temperature conditions of nucleation of ZnO layers on silicon substrates with thermally oxidized surfaces during magnetron sputtering of a cermet ZnO–Zn target (30 mol %) in an Ar atmosphere and chemical vapor transport deposition in a hydrogen flow upon Zn and H2O vapor interaction.
при мартенситном превращении	during martensitic transformation	Фазы мартенситного происхождения чаще всего имеют не свободную от дефектов структуру: образованию мартенситных фаз сопутствует образование хаотически расположенных дефектов упаковки, необходимых для аккомодации фаз при мартенситном превращении.	The structure of martensite-origin phases most often contains defects: the formation of martensite phases is accompanied by the occurrence of randomly arranged stacking faults, which are necessary for phase accommodation during martensitic transformation.
при медленном нагреве	upon slow heating	В [3, 5, 6] считается экспериментально доказанным, что весь процесс обратного превращения мартенсита в аустенит α  γ при медленном нагреве сплавов Fe–Ni осуществляется в два этапа.	It was assumed in [3, 5, 6] as experimentally proven that the entire process of reverse martensite–austenite (α  γ) transformation upon slow heating of Fe–Ni alloys occurs in two stages.
при нагреве выше	upon heating above	Спектральный анализ растворов в толуоле был проведен для образцов Tc: однократно перекристаллизованного (1) и предварительно подвергнутых термической обработке в ходе экспериментов ДСК при нагреве выше температуры полиморфного перехода до 325°C (2) и выше температуры плавления (3).	Spectral analysis of the solutions in toluene was performed for several Tc samples: a singly recrystallized one (1) and samples previously subjected to thermal treatment during DSC experiments upon heating above the polymorphic transition temperature to 325°C (2) and above the melting temperature (3).
при наклонном падении	at oblique incidence	ЭЛЕКТРООПТИЧЕСКИЙ ОТКЛИК ЯЧЕЕК С РАЗНОЙ ТОЛЩИНОЙ ГОМЕОПЛАНАРНЫХ СЛОЕВ НЕМАТИЧЕСКОГО ЖИДКОГО КРИСТАЛЛА ПРИ НАКЛОННОМ ПАДЕНИИ СВЕТА НА СЛОЙ	Electro-Optic Response of Cells with Homeoplanar Layers of a Nematic Liquid Crystal with Different Thicknesses at Oblique Incidence of Light
при нормальном падении	at normal incidence	Таким образом, при нормальном падении плоской СВЧ волны на линейную структуру из диэлектрических колец, начиная с двух колец, в дальней волновой зоне от плоскости колец возникает отраженное излучение на основной частоте магнитного диполя, которое не наблюдается для одного кольца.	At normal incidence of a microwave plane wave on the linear structure consisting of dielectric rings, the reflected radiation at the fundamental frequency of the magnetic dipole occurs in the far-field zone of the ring plane when the number of rings is two or more.
при определенных условиях	under certain conditions	Кроме того, при выполнении повторных экспериментов на одной и той же станции объемные доли димеров при определенных условиях могли различаться в абсолютных пределах на 1.2–1.5%, а для октамеров – в пределах 0.3–0.5%, с учетом данной неоднозначности, можно заключить, что результаты, представленные в табл. 3, измеренные при различных условиях, находятся в согласии друг с другом.	In addition, when performing repeated experiments on the same station, the volume fractions could differ under certain conditions by 1.2–1.5% (on the absolute scale) for dimers and 0.3–0.5% for octamers; with allowance for this ambiguity, we can suggest that the results presented in Table 3 (measured under different conditions) are consistent.
при повышении температуры	with an increase in temperature	Линия КР с частотой 466 см–1 уширялась при повышении температуры, но не имела существенных изменений по частоте.	The Raman line at a frequency of 466 cm–1 was broadened with an increase in temperature; however, its frequency changed only slightly.
при прочих равных условиях	other factors being equal	Сложность задачи заключалась в том, что при прочих равных условиях (угловая скорость вращения, площадь кольцевого интерферометра) на длине волны  m обусловленная эффектом Саньяка разность фаз встречных волн в кольцевом интерферометре приблизительно в  раз меньше, чем в оптическом диапазоне.	A difficulty of the problem was as follows: the phase difference of counterpropagating waves at wavelength λ = 10 m in a ring interferometer caused by the Sagnac effect is smaller by a factor of about 2 × 107 than that in the optical range, other factors being equal (rotation speed and area of the ring interferometer).
при росте кристалла	during crystal growth	Этот вывод основан на том факте, что основной, решающий вклад в термодинамический коэффициент при росте кристалла из раствора и малых пересыщениях дает первое слагаемое (17) , хотя другие слагаемые в конкретной физической обстановке при детальном анализе могут демонстрировать иные зависимости от пересыщения.	This conclusion is based on the fact that the main, decisive contribution to the thermodynamic coefficient during crystal growth from a solution at low supersaturations is made by the first term of (17): ; nevertheless, a detailed analysis may reveal other dependences on supersaturation for other terms in a specific physical situation.
при ускоряющем напряжении	at an accelerating voltage of	Химический состав минерала исследован методом электронно-зондового микроанализа на приборе Camebax microbeam при ускоряющем напряжении 15 кВ и токе зонда 30 нА (ГЕОХИ РАН, аналитик В.Г. Сенин).	The chemical composition of the mineral was investigated by electron probe microanalysis on a Camebax Microbeam device at an accelerating voltage of 15 kV and a probe current of 30 nA (Vernadsky Institute of Geochemistry and Analytical Chemistry of the Russian Academy of Sciences, analyst V.G. Senin).
при фазовом переходе	at the phase transition	Интересно отметить, что при фазовом переходе обнаружены те фазы, которые были определены в [9, 10]: высокотемпературная фаза I41/acd и низкотемпературная фаза I2m.	It is interesting to note that the phases found at the phase transition are the same as were determined in [9, 10]: high-temperature I41/acd phase and low-temperature I2m phase.
